"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
253,"i51","Full-time equivalent telecommunication employees ",,"count",167,"NGA","Nigeria","13145",2018,"","Nigerian Communications Commission","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",167,"NGA","Nigeria","4231",2018,"","Nigerian Communications Commission","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",167,"NGA","Nigeria","7.3361e+009",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",167,"NGA","Nigeria","1.00312e+009",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
400,"i952","Revenue from all telecommunication services","i75$","per employee",167,"NGA","Nigeria","558091",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",167,"NGA","Nigeria","13.6737",2018,"","","Refers to annual investment divided by telecommunication revenues"
253,"i51","Full-time equivalent telecommunication employees ",,"count",176,"OMN","Oman","3836",2018,"","Telecommunication Regulatory Authority","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",176,"OMN","Oman","951",2018,"","Telecommunication Regulatory Authority","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",176,"OMN","Oman","2.19988e+009",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",176,"OMN","Oman","5.3453e+008",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
400,"i952","Revenue from all telecommunication services","i75$","per employee",176,"OMN","Oman","573483",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",176,"OMN","Oman","24.2982",2018,"","","Refers to annual investment divided by telecommunication revenues"
253,"i51","Full-time equivalent telecommunication employees ",,"count",189,"PAN","Panama","6359",2018,"","Autoridad Nacional de los Servicios Publicos","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",189,"PAN","Panama","2670",2018,"","Autoridad Nacional de los Servicios Publicos","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",189,"PAN","Panama","1.11152e+009",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",189,"PAN","Panama","3.22758e+008",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
400,"i952","Revenue from all telecommunication services","i75$","per employee",189,"PAN","Panama","174794",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",189,"PAN","Panama","29.0375",2018,"","","Refers to annual investment divided by telecommunication revenues"
10,"i841f","Annual foreign investment in telecommunications",,"LCU",308,"PSE","State of Palestine","0",2018,"","Ministry of Telecom and IT","Annual foreign investment in telecommunications refers to investment during the financial year in telecommunication services (including fixed, mobile and Internet services) coming from foreign sources, also referred to as foreign direct investment
(FDI)"
253,"i51","Full-time equivalent telecommunication employees ",,"count",308,"PSE","State of Palestine","2463",2018,"","Ministry of Telecom and IT","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",308,"PSE","State of Palestine","721",2018,"","Ministry of Telecom and IT","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",308,"PSE","State of Palestine","1.43337e+008",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",308,"PSE","State of Palestine","1.77955e+007",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
