"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_ictsust/pc_desi_idt_dtb/EU/2021","2021","EU","desi_idt_dtb","desi_idt_ictsust","pc_desi_idt_dtb",0.0512644,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_ictsust/pc_desi_idt_dtb/SK/2021","2021","SK","desi_idt_dtb","desi_idt_ictsust","pc_desi_idt_dtb",0.0658533,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_sellcb/pc_desi_idt_ecomm/CY/2021","2021","CY","desi_idt_ecomm","desi_idt_sellcb","pc_desi_idt_ecomm",0.114913,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_sellcb/pc_desi_idt_ecomm/EE/2021","2021","EE","desi_idt_ecomm","desi_idt_sellcb","pc_desi_idt_ecomm",0.125256,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_sellcb/pc_desi_idt_ecomm/PT/2021","2021","PT","desi_idt_ecomm","desi_idt_sellcb","pc_desi_idt_ecomm",0.104111,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_di/desi_idt_smedi/pc_desi_idt_di/EL/2021","2021","EL","desi_idt_di","desi_idt_smedi","pc_desi_idt_di",0.19409,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_smeso/pc_desi_idt_ecomm/AT/2021","2021","AT","desi_idt_ecomm","desi_idt_smeso","pc_desi_idt_ecomm",0.144508,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_smeso/pc_desi_idt_ecomm/DE/2021","2021","DE","desi_idt_ecomm","desi_idt_smeso","pc_desi_idt_ecomm",0.114775,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_smeso/pc_desi_idt_ecomm/ES/2021","2021","ES","desi_idt_ecomm","desi_idt_smeso","pc_desi_idt_ecomm",0.161778,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_smeso/pc_desi_idt_ecomm/FI/2021","2021","FI","desi_idt_ecomm","desi_idt_smeso","pc_desi_idt_ecomm",0.121429,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_socmed/pc_desi_idt_dtb/EE/2021","2021","EE","desi_idt_dtb","desi_idt_socmed","pc_desi_idt_dtb",0.0259355,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_socmed/pc_desi_idt_dtb/LU/2021","2021","LU","desi_idt_dtb","desi_idt_socmed","pc_desi_idt_dtb",0.0488793,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_mbb/desi_mbbtu/pc_desi_c_mbb/AT/2020","2020","AT","desi_c_mbb","desi_mbbtu","pc_desi_c_mbb",0.15762,,
