"","Indicator","Value","entity"
"419","I1209_buyer_sophistication",2.8,"Angola"
"420","I1210_trademarks",0,"Angola"
"421","P1_institutions",NA,"Argentina"
"422","Sub1_Security",NA,"Argentina"
"423","I101_organized_crime",4.1,"Argentina"
"424","I102_homicide",5.1,"Argentina"
"425","I103_terrorism",99.8,"Argentina"
"426","I104_police",3.6,"Argentina"
"427","Sub2_Social_Capital",NA,"Argentina"
"428","Sub2_Social_Capital",49.5,"Argentina"
"429","Sub3_Checks_Balances",NA,"Argentina"
"430","I106_transparency",50,"Argentina"
"431","I107_judicial_independence",2.8,"Argentina"
"432","I108_challenging_regulations",2.8,"Argentina"
"433","I09_press_freedom",28.3,"Argentina"
"434","Sub4_Public_Sector",NA,"Argentina"
"435","I110_gov_burden",2.6,"Argentina"
"436","I111_settling_disputes",2.8,"Argentina"
"437","I112_e_participation",0.62,"Argentina"
"438","Sub5_Transparency",NA,"Argentina"
"439","I113_corruption",40,"Argentina"
"440","I114_property_rights",NA,"Argentina"
"441","I114_property_rights",3.8,"Argentina"
"442","I115_intellectual_property_protection",3.9,"Argentina"
"443","I116_land_administration",13.5,"Argentina"
"444","Sub6_Corporate_Governance",NA,"Argentina"
"445","I117_auditing_accounting_standards",4.2,"Argentina"
"446","I118_interest_conflict_regulation",5,"Argentina"
"447","I119_shareholder_governance",7.3,"Argentina"
"448","Sub7_Government_Orientation",NA,"Argentina"
"449","I120_policy_stability",3,"Argentina"
"450","I121_response_to_change",3.5,"Argentina"
"451","I122_digital_business_laws",3.5,"Argentina"
"452","I123_gov_long_term_vision",3.6,"Argentina"
"453","I124_energy_regulations",34.1,"Argentina"
"454","I125_renewable_energy",59,"Argentina"
"455","I126_environment_treaties",23,"Argentina"
"456","P2_infrastructure",NA,"Argentina"
"457","Sub8_Transport_Infrastructure",NA,"Argentina"
"458","I201_road_connectivity",94.5,"Argentina"
"459","I202_quality_of_roads",3.6,"Argentina"
"460","I203_railroad_density",6.4,"Argentina"
"461","I204_train_efficiency",2.7,"Argentina"
"462","I205_airport_connectivity",80596.6,"Argentina"
"463","I206_air_transport_efficiency",4.4,"Argentina"
"464","I207_shipping_connectivity",35.2,"Argentina"
"465","I208_seaport_efficiency",3.9,"Argentina"
"466","Sub9_Utility_Infrastructure",NA,"Argentina"
"467","I209_electricity_access",98.8,"Argentina"
"468","I210_electricity_supply",13,"Argentina"
"469","I211_unsafe_drinking_water",8.2,"Argentina"
"470","I212_water_supply",5.3,"Argentina"
"471","P3_ICT_adoption",NA,"Argentina"
"472","I301_cellular_subscription",132.1,"Argentina"
"473","I302_mobile_broadband",80.7,"Argentina"
"474","I303_fixed_broadband",19.1,"Argentina"
"475","I304_fibre_internet",0.5,"Argentina"
"476","I305_internet_users",74.3,"Argentina"
"477","P4_macro_stability",NA,"Argentina"
"478","I401_inflation",30,"Argentina"
"479","I402_debt_dynamic",40,"Argentina"
"480","P5_health",NA,"Argentina"
"481","I501_healthy_life_expectancy",66.8,"Argentina"
"482","P6_skills",NA,"Argentina"
"483","Sub10_Workforce",NA,"Argentina"
"484","I601_years_of_schooling",11.4,"Argentina"
"485","Sub11_Workforce_Skills",NA,"Argentina"
"486","I602_staff_training",3.8,"Argentina"
"487","I603_vocational_training",4.8,"Argentina"
"488","I604_graduates_skillset",4.2,"Argentina"
"489","I605_digital_skills",4,"Argentina"
"490","I606_skilled_employees",4.2,"Argentina"
"491","Sub12_Future_Workforce",NA,"Argentina"
"492","I501_healthy_life_expectancy",17.6,"Argentina"
"493","Sub13_Future_Workforce_Skills",NA,"Argentina"
"494","I608_critical_thinking",3.4,"Argentina"
"495","I609_pupil_teacher_ratio",17,"Argentina"
"496","P7_product_market",NA,"Argentina"
"497","Sub14_Domestic_Competition",NA,"Argentina"
"498","I701_distortive_taxes",2.6,"Argentina"
"499","I702_market_dominance",3.6,"Argentina"
"500","I703_competition_services",4.5,"Argentina"
"501","Sub15_Trade_Openess",NA,"Argentina"
"502","I704_non_tariff_barriers",4,"Argentina"
"503","I705_trade_tariffs",11.31,"Argentina"
"504","I706_tariffs_complexity",6.6,"Argentina"
"505","I707_border_clearance",2.4,"Argentina"
"506","P8_labour_market",NA,"Argentina"
"507","Sub16_Flexibility",NA,"Argentina"
"508","I801_redundancy_costs",30.3,"Argentina"
"509","I802_hiring_firing_practices",2.3,"Argentina"
"510","I803_labour_employer_relations",3.8,"Argentina"
"511","I804_wage_flexibility",2.9,"Argentina"
"512","I805_labour_market_policies",2.9,"Argentina"
"513","I806_workers_rights",73,"Argentina"
"514","I807_foreign_labour_hiring",5,"Argentina"
"515","I808_internal_labour_mobility",3.7,"Argentina"
"516","Sub17_Meritocracy",NA,"Argentina"
"517","I809_reliance_on_management",4.3,"Argentina"
"518","I810_pay_productivity",3.5,"Argentina"
"519","I811_gender_pay_gap",0.74,"Argentina"
"520","I812_labour_tax",29.3,"Argentina"
"521","P9_financial_system",NA,"Argentina"
"522","Sub18_Depth",NA,"Argentina"
"523","I901_credit_to_private_sector",14.8,"Argentina"
"524","I902_financing_SME",2.6,"Argentina"
"525","I903_venture_capital",2.3,"Argentina"
"526","I904_market_capitalization",12.7,"Argentina"
"527","I905_insurance_premium",2.5,"Argentina"
"528","Sub19_Stability",NA,"Argentina"
"529","I906_banks_soundness",4.8,"Argentina"
"530","I907_non_performing_loans",1.8,"Argentina"
"531","I908_credit_gap",2.1,"Argentina"
"532","I909_regulatory_capital",15.2,"Argentina"
"533","P10_market_size",NA,"Argentina"
"534","I1001_GDP_PPP",813,"Argentina"
"535","I1002_imports",17.2,"Argentina"
"536","P11_dynamism",NA,"Argentina"
"537","Sub20_Administrative_Requirements",NA,"Argentina"
"538","I1101_starting_business_cost",5.3,"Argentina"
"539","I1102_starting_business_time",11,"Argentina"
"540","I1103_insolvency_recovery_rate",21.5,"Argentina"
"541","I1104_insolvency_regulations",9.5,"Argentina"
"542","Sub21_Entrepreneurial_Culture",NA,"Argentina"
"543","I1105_risk_attitudes",4,"Argentina"
"544","I1106_delegating_authority",4.2,"Argentina"
"545","I1107_innovating_companies",3.9,"Argentina"
"546","I1108_disruptive_ideas",3.7,"Argentina"
"547","P12_innovation",NA,"Argentina"
"548","Sub22_Diversity",NA,"Argentina"
"549","I1201_workforce_diversity",4.9,"Argentina"
"550","I1202_cluster_development",3.4,"Argentina"
"551","I1203_international_inventions",0.28,"Argentina"
"552","I1204_stakeholder_collaboration",3.6,"Argentina"
"553","Sub23_Research_Development",NA,"Argentina"
"554","I1205_scientific_publications",364.7,"Argentina"
"555","I1206_patents",1.44,"Argentina"
"556","I1207_RnD_expenditures",0.5,"Argentina"
"557","I1208_research_institutions",0.07,"Argentina"
"558","Sub24_Commercialization",NA,"Argentina"
"559","I1209_buyer_sophistication",3.5,"Argentina"
"560","I1210_trademarks",1406.05,"Argentina"
"561","P1_institutions",NA,"Armenia"
"562","Sub1_Security",NA,"Armenia"
"563","I101_organized_crime",5.6,"Armenia"
"564","I102_homicide",2.4,"Armenia"
"565","I103_terrorism",99.9,"Armenia"
"566","I104_police",5,"Armenia"
"567","Sub2_Social_Capital",NA,"Armenia"
"568","Sub2_Social_Capital",43,"Armenia"
"569","Sub3_Checks_Balances",NA,"Armenia"
"570","I106_transparency",NA,"Armenia"
"571","I107_judicial_independence",4,"Armenia"
"572","I108_challenging_regulations",3.9,"Armenia"
"573","I09_press_freedom",29,"Armenia"
"574","Sub4_Public_Sector",NA,"Armenia"
"575","I110_gov_burden",4.1,"Armenia"
"576","I111_settling_disputes",4,"Armenia"
"577","I112_e_participation",0.57,"Armenia"
"578","Sub5_Transparency",NA,"Armenia"
"579","I113_corruption",35,"Armenia"
"580","I114_property_rights",NA,"Armenia"
"581","I114_property_rights",4.8,"Armenia"
"582","I115_intellectual_property_protection",4.2,"Armenia"
"583","I116_land_administration",20.5,"Armenia"
"584","Sub6_Corporate_Governance",NA,"Armenia"
"585","I117_auditing_accounting_standards",4.7,"Armenia"
"586","I118_interest_conflict_regulation",6.7,"Armenia"
"587","I119_shareholder_governance",6,"Armenia"
"588","Sub7_Government_Orientation",NA,"Armenia"
"589","I120_policy_stability",4.2,"Armenia"
"590","I121_response_to_change",4,"Armenia"
"591","I122_digital_business_laws",4,"Armenia"
