indicatorId,geoUnit,year,type,subtype,value
FOSGP.5T8.F500600700,ARE,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARG,2006,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ARG,2006,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ARG,2007,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ARG,2007,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ARG,2008,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ARG,2008,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ARG,2009,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ARG,2009,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ARG,2010,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ARG,2010,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ARG,2011,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ARG,2011,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ARG,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARG,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARG,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARG,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARG,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARG,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARG,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARG,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
